log.prior	log.likelihood	log.likelihood.test.set
-1.415541001343097832e+03 -7.087119601505396531e+02 -4.343379242393515938e+01
-1.400462848028681719e+03 -7.157799966587026574e+02 -4.303256100562185793e+01
-1.391420558551516933e+03 -7.167375518056645660e+02 -4.209324203196834446e+01
-1.409319121884702326e+03 -7.184213632386300787e+02 -4.296537393691829720e+01
-1.412205869208208696e+03 -7.132960323721661098e+02 -4.333287354679546866e+01
-1.405337864472043748e+03 -7.114019986122393675e+02 -4.345235778293852036e+01
-1.416738235835617388e+03 -7.136591321377769646e+02 -4.281513668029685959e+01
-1.413579892084641415e+03 -7.121675639825048165e+02 -4.273032726527063119e+01
-1.427646071745641393e+03 -7.101566098368454050e+02 -4.401561412438843490e+01
-1.413638174678691939e+03 -7.091507588469874008e+02 -4.427376302111400719e+01
-1.428309156277980719e+03 -7.094875015957679807e+02 -4.328578512422492963e+01
-1.420076595287501732e+03 -7.098372511987533926e+02 -4.247300650905000907e+01
-1.427376868537568043e+03 -7.063862547724651222e+02 -4.240228498345786079e+01
-1.429576826568967363e+03 -7.031701804572572883e+02 -4.215252572074916770e+01
-1.415432923993757186e+03 -7.017477496353990318e+02 -4.315508059157363618e+01
-1.419801703258166526e+03 -6.991219224640026368e+02 -4.284121413436938042e+01
-1.415665462276050448e+03 -7.037069890566763206e+02 -4.227864554336633773e+01
-1.409493265864096429e+03 -7.052548588061953296e+02 -4.244825248658551686e+01
-1.416701180537401797e+03 -7.043925617500216276e+02 -4.396694954220987483e+01
-1.423417773378559104e+03 -7.045317180456437427e+02 -4.336223107935796861e+01
-1.433295681926103043e+03 -7.074646042461406523e+02 -4.322084420542768157e+01
-1.427723583507675357e+03 -7.092772211121831560e+02 -4.245769206460207101e+01
-1.446075626797960922e+03 -7.113966455909556998e+02 -4.201905206063364062e+01
-1.447301933105973831e+03 -7.155759251621507246e+02 -4.308161590838460597e+01
-1.471534692648735017e+03 -7.129241758526445665e+02 -4.307119383671411583e+01
-1.461924660565283375e+03 -7.138641361334805424e+02 -4.321107914829278229e+01
-1.467952811155688096e+03 -7.127019897297330999e+02 -4.286848623092944877e+01
-1.446637784220556341e+03 -7.126244300936182299e+02 -4.294137429339249934e+01
-1.474262834819632189e+03 -7.148014523924040304e+02 -4.216776937878807985e+01
-1.478406859101413147e+03 -7.174162767841853565e+02 -4.121862957131611438e+01
-1.470663981724073210e+03 -7.166789352006766194e+02 -4.225412000818255365e+01
-1.464001131240860104e+03 -7.139514701303878610e+02 -4.121856932680245222e+01
-1.481269771757295530e+03 -7.142918512583255506e+02 -3.965694169833662386e+01
-1.484711985891037330e+03 -7.168299693173426022e+02 -4.073342782800207829e+01
-1.459396442913877763e+03 -7.198057096449767869e+02 -4.072913416630922256e+01
-1.487473987518143531e+03 -7.162999961140710639e+02 -4.113034936113695039e+01
-1.477190818718437185e+03 -7.159520501999262478e+02 -4.170030790448538482e+01
-1.467912056408169519e+03 -7.210229845230893488e+02 -4.194443941720109592e+01
-1.465079403594327687e+03 -7.231049767226348877e+02 -4.204953520528349031e+01
-1.464285769110918181e+03 -7.220522082560182753e+02 -4.181445094793130579e+01
-1.452507370033504912e+03 -7.232542109373632684e+02 -4.061051813276000644e+01
-1.451971532883663031e+03 -7.203946570470022834e+02 -4.131523895265377178e+01
-1.444769885318003389e+03 -7.167548182850975991e+02 -4.162419624952840991e+01
-1.480269346764572674e+03 -7.173389241950749238e+02 -4.122211195228436509e+01
-1.471877287995270535e+03 -7.161235745017228282e+02 -4.115432341459953136e+01
-1.486681955864371730e+03 -7.143727503556558531e+02 -3.954633332974381688e+01
-1.472622509874924617e+03 -7.158306648858674635e+02 -4.082920078005219011e+01
-1.499266865030615691e+03 -7.165478465707763007e+02 -4.151780023473781966e+01
-1.506681537616756714e+03 -7.184142535507114644e+02 -4.101729986264004424e+01
-1.507107856833843243e+03 -7.177272044467665637e+02 -4.172135931731850178e+01
-1.515420340632249236e+03 -7.130841237216880018e+02 -4.182111926889871256e+01
-1.512394866016175456e+03 -7.147013472832232992e+02 -4.220009284659002446e+01
-1.516944493985102326e+03 -7.141417697693245827e+02 -4.299109543697517211e+01
-1.524689595110018672e+03 -7.141675991679893514e+02 -4.335700765018148672e+01
-1.524782290481327209e+03 -7.107116444618384321e+02 -4.307327088925606517e+01
-1.525326704321106490e+03 -7.139151938251117144e+02 -4.320837278234560586e+01
-1.537168303603562435e+03 -7.110479791811849282e+02 -4.258198508788541403e+01
-1.550765583494964176e+03 -7.119005030754590280e+02 -4.311295225026105982e+01
-1.552157027549742224e+03 -7.095917454374599629e+02 -4.316444372917530359e+01
-1.549476921720595328e+03 -7.122199491061707022e+02 -4.368064015269155220e+01
-1.534381379055443176e+03 -7.138993411369435762e+02 -4.283148153237630140e+01
-1.543127896573943190e+03 -7.153688618102354440e+02 -4.325454198336223044e+01
-1.539192164762941729e+03 -7.109898751686853302e+02 -4.323501341769309647e+01
-1.526159862114251609e+03 -7.107164373640605390e+02 -4.303745316787149022e+01
-1.538658523863630762e+03 -7.149572186565824268e+02 -4.290995045926638340e+01
-1.538091753225122375e+03 -7.162448058922390146e+02 -4.171189726467611081e+01
-1.521509694774322725e+03 -7.135310727684870926e+02 -4.228584423315538743e+01
-1.523625857804782527e+03 -7.076285621687320599e+02 -4.215083026570417246e+01
-1.511441751943770441e+03 -7.061767451069488288e+02 -4.199443948387590808e+01
-1.515531962619737442e+03 -7.072492877554016104e+02 -4.140707490253240053e+01
-1.535543696160435275e+03 -7.068466981987099871e+02 -4.065948222520836453e+01
-1.531058345164196908e+03 -7.076281715691488898e+02 -4.094341802602625080e+01
-1.516152551826970466e+03 -7.096371691472944576e+02 -4.118563357435394323e+01
-1.520361086306549169e+03 -7.073325020992921282e+02 -4.181774215061199129e+01
-1.520716527522530214e+03 -7.090283449061180363e+02 -4.330247897836352422e+01
-1.514318278571150813e+03 -7.091310538145446571e+02 -4.315255422128001328e+01
