word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	
8.224986847057051520e+00 7.246089023056846656e+00 5.406817362957132111e+00 9.750289922961387745e+00 8.893574089905285973e+00 9.860938779911533558e+00 3.990921553843116865e+00
9.621346418279529189e+00 7.191127781706919464e+00 8.556281037624721364e+00 7.987038054693389455e+00 9.628736047395676678e+00 8.723844814669298842e+00 6.060379683739658851e+00
9.110774906347693047e+00 7.010172507057220059e+00 8.019204958222692525e+00 7.205075196873256260e+00 9.201723278025585984e+00 8.341381844494208053e+00 6.769347291154388380e+00
8.567637541344431895e+00 8.357397397989066334e+00 7.931015647895514498e+00 9.183394180465258572e+00 8.097328539992201257e+00 8.102891922195400554e+00 8.551141157319790409e+00
9.834557645523606340e+00 8.549459793821794662e+00 9.267982567872429911e+00 7.868653393159137366e+00 6.502137807004492842e+00 9.288302464152540239e+00 3.675169097923170813e+00
9.907561553988687209e+00 6.356923296465271100e+00 8.585744713116897131e+00 5.723232963067120593e+00 9.923652461954160842e+00 6.093659238344629969e+00 6.598980432056893441e+00
8.996761049712851843e+00 5.633283288679305834e+00 9.183830705977227282e+00 8.211884015033049877e+00 7.738767657113458043e+00 7.225454003027714123e+00 8.797481198758127618e+00
7.972614826177099268e+00 7.820160570793468935e+00 9.336949519000086184e+00 6.368571477241150802e+00 9.227073541799878598e+00 9.991047191026309449e+00 3.737715858606674324e+00
7.362009000717671725e+00 8.100951502550525873e+00 8.736307431184227923e+00 7.021115308070023708e+00 9.528455148322152013e+00 8.882221840491100195e+00 4.077598649370115069e+00
7.325184440752551041e+00 9.481198724328152139e+00 8.455237739683056475e+00 8.037306628032462541e+00 9.091582299149610691e+00 6.414207326749239435e+00 9.606821290739347319e+00
6.609273497789109442e+00 9.852361422249071410e+00 5.852380631470553318e+00 6.686839551490095346e+00 7.015831828580626706e+00 7.196349853111834172e+00 9.376635583792374717e+00
8.424501508657135318e+00 9.267495551623904149e+00 8.829429858049685720e+00 7.558662444358427379e+00 6.665293414449476650e+00 9.519876875159642537e+00 9.238482607184044682e+00
9.134820771994561994e+00 6.061804322934061240e+00 9.750034762921096387e+00 7.920999331836675594e+00 9.475179253875488428e+00 8.592460833976883094e+00 8.389796676773711326e+00
9.584284402830864025e+00 8.342989171422926731e+00 8.581599187057170397e+00 7.685785154753984827e+00 9.850202211448305434e+00 8.068160690664162971e+00 5.475107841824545574e+00
9.307737221663817451e+00 7.350019059748989392e+00 8.537001963489649015e+00 7.088353844809532234e+00 9.511737389486961902e+00 9.312290850652381380e+00 7.255941580144166458e+00
8.539827432562047349e+00 6.882946896720541829e+00 6.247977691912278253e+00 6.971732486881951019e+00 9.869778809730368252e+00 9.145463398669090083e+00 7.330364175811577176e+00
8.524075979582846685e+00 6.415380966615215286e+00 8.690151161032758864e+00 6.434959261302214628e+00 9.632548689183284552e+00 8.767463116048375582e+00 7.196280439950301755e+00
8.230421244719595464e+00 6.775899854229904484e+00 9.093227780820686945e+00 8.882467992321902983e+00 9.071051163870475165e+00 9.881699282135565809e+00 8.350065992288026706e+00
9.737506910679726957e+00 7.736599863788434561e+00 8.295112585026666707e+00 4.597283229812322958e+00 7.644231261294001101e+00 8.588556340598604066e+00 9.700516445162417511e+00
9.839406928546674536e+00 8.093258607038304575e+00 8.488760382722363218e+00 9.477489870528486904e+00 8.139909217237239147e+00 9.069723569102624339e+00 9.870400560854633909e+00
9.119258331469392687e+00 6.170071022488793133e+00 5.138957352959662828e+00 7.001722122759041156e+00 9.834026491500193146e+00 8.271578771463843793e+00 9.237141822609908459e+00
7.214691764279101527e+00 7.243472637164219741e+00 9.829032232991941953e+00 6.330364175379747493e+00 5.931934487893013142e+00 9.555133978355710767e+00 6.517611121765480853e+00
7.419236625896257209e+00 7.724905436057124319e+00 8.841021594381501814e+00 7.134080126695760526e+00 7.281703070456455151e+00 7.060420755891865241e+00 7.773852086915379545e+00
6.578562817790874817e+00 6.437737780135716292e+00 7.875119721399431505e+00 8.818797873565161538e+00 7.027863410091058860e+00 6.764980166048832899e+00 9.158892112862709212e+00
6.491179284518322490e+00 9.109465223122764854e+00 6.973291316355561875e+00 5.905326530317230649e+00 7.159456195189290995e+00 9.946241281570145532e+00 7.237643638958013881e+00
8.121831219512094080e+00 8.563722889569074681e+00 8.799064750848227590e+00 9.325811509730412396e+00 6.948030599817728081e+00 5.748816046827236903e+00 9.953363871724116407e+00
5.254537644003900887e+00 9.969958577053198212e+00 8.428477371247035776e+00 9.933844137109950623e+00 7.162953149267317521e+00 7.982447334376398196e+00 8.061573104441485782e+00
6.288507435039861981e+00 8.698402185437384304e+00 8.060516490113936783e+00 7.549360598406005707e+00 9.360513962161675749e+00 8.735923109194299485e+00 8.450286613361143395e+00
6.385447955101644979e+00 8.664616468319211506e+00 8.497802242757922286e+00 8.595288898798326471e+00 9.496955814538480922e+00 9.788019174982048654e+00 9.146937134795859237e+00
6.196188722622756551e+00 9.910946318499979313e+00 6.841904068133624506e+00 8.256308597973978536e+00 9.216841968375545591e+00 7.224844987674222452e+00 9.922413414897290451e+00
6.341974844107704179e+00 7.585611576965256120e+00 7.402613554457807332e+00 8.252190934236987019e+00 9.531785948050824686e+00 7.156701322195364590e+00 8.575447755237885161e+00
8.241081022042209270e+00 7.277740651408677763e+00 6.319976588132677264e+00 9.072139215188624206e+00 8.498929615796528836e+00 8.995663736016840772e+00 9.604024143667764690e+00
8.665740232242731267e+00 6.827328194277020756e+00 9.280603564773297620e+00 7.308279497821935422e+00 9.499681315503472945e+00 5.925575703331616317e+00 8.394114523271174022e+00
8.781011021110289860e+00 8.248146805900102407e+00 8.138022912829631750e+00 8.897354857390624261e+00 9.535582936167120494e+00 6.606382319297189554e+00 7.441150141565628040e+00
9.105581936594086656e+00 8.693830888037895832e+00 9.297455895813747873e+00 7.343088161139414538e+00 8.879801890611354054e+00 3.280202803346250473e+00 7.412625028798669469e+00
7.542287544143279732e+00 9.078672530162901211e+00 8.037545395625190991e+00 5.024915314929738308e+00 8.372901407723436051e+00 9.532158969763555589e+00 9.377963654695038898e+00
7.413394638819045923e+00 5.839670210173048659e+00 7.671690639092721753e+00 4.625268760172969174e+00 5.403179393155349786e+00 9.214211153332401594e+00 9.703295023367108030e+00
7.103890739839909152e+00 6.610809546307653051e+00 6.239095632557666526e+00 8.915988909041265842e+00 8.073802491185851693e+00 6.026912297707618826e+00 8.531315416343945301e+00
8.481248738420251954e+00 9.493057733409326460e+00 7.446477558748130221e+00 6.992051361837053669e+00 8.861634392683553685e+00 7.066010261443576468e+00 7.256376702888458929e+00
8.898744409583731141e+00 8.497078635759171661e+00 7.037849236305087075e+00 7.857184943228125107e+00 9.184880027181177908e+00 8.419766821782017630e+00 8.297093784505261027e+00
9.281522710935467657e+00 8.318038579675256727e+00 6.901742466926726216e+00 5.933047889535881581e+00 9.973644023232045797e+00 7.468361125945327750e+00 4.281309322172178078e+00
9.277390743840012277e+00 8.571663839584328315e+00 5.228157927356946288e+00 3.652401940981969020e+00 8.814819002851333352e+00 7.484030682588988626e+00 7.627067068625517088e+00
8.556153049767802443e+00 7.171113716044718700e+00 6.192343750624386800e+00 9.983839766393041160e+00 7.948842517621135251e+00 9.396117639742096017e+00 8.652259704943022101e+00
7.959214849130686886e+00 9.185290833172755853e+00 6.262501903902300882e+00 9.565874703882700558e+00 8.868921204710970230e+00 8.141897257399122623e+00 7.157830115169844909e+00
8.351283686217746194e+00 9.233793333082530808e+00 5.992007741268387200e+00 5.770017895000137287e+00 9.117753375996530352e+00 7.718062229599476076e+00 8.347016533269677296e+00
9.336698644933255409e+00 6.285643917433736405e+00 4.901740780117338048e+00 7.147743936035173107e+00 7.854352746054836132e+00 5.666791968857215700e+00 8.490879866248771890e+00
9.654720837266886235e+00 6.551682974769267531e+00 7.034288629340141874e+00 8.220316089506326307e+00 9.562825570354727134e+00 5.149109143589519100e+00 9.195484380723678797e+00
9.540096119628330484e+00 7.946566568401554953e+00 8.543050966419947656e+00 9.073568504414167180e+00 9.772838578393734821e+00 7.383693923074762466e+00 8.136810970309969804e+00
8.657479354783154335e+00 7.894117364195227360e+00 8.470972062173007799e+00 7.937943563736912900e+00 9.719515024354423716e+00 5.893636652945478893e+00 8.574976566567173109e+00
9.249664916721755503e+00 8.683448452391751005e+00 7.923590657786778735e+00 9.144933886873769069e+00 8.172673963471561720e+00 7.336519162610597888e+00 6.381314372974626892e+00
9.347026590765681320e+00 9.356809128772257012e+00 3.975175187477417715e+00 5.416936665138024409e+00 8.698641148684833624e+00 7.715659509037346098e+00 8.747084404593795881e+00
8.822440365120652217e+00 8.065253938036752501e+00 8.863082140064705072e+00 6.546093235280173062e+00 9.218355617662085777e+00 7.746915217224042749e+00 8.247385726796967020e+00
