log.prior	log.likelihood	log.likelihood.test.set
-1.231898580045541166e+03 -3.719444381109200890e+02 -1.651941817509711541e+01
-1.232115718604533185e+03 -3.722766852892963811e+02 -1.642841218139963644e+01
-1.232347335376210822e+03 -3.684052355522264861e+02 -1.615031688876052840e+01
-1.238929957402615400e+03 -3.686058894323228969e+02 -1.611565668165926013e+01
-1.256737300198711637e+03 -3.717795678074564307e+02 -1.584694379101762252e+01
-1.239359634441943172e+03 -3.668301731114404447e+02 -1.629116019897352885e+01
-1.239917300399124315e+03 -3.673545475208860580e+02 -1.590473454285330490e+01
-1.243649279369325768e+03 -3.696228650517705887e+02 -1.627130865081113598e+01
-1.237566993205653716e+03 -3.687015296683742349e+02 -1.648640952281101590e+01
-1.238194266561823497e+03 -3.721351552676529195e+02 -1.641263828030471927e+01
-1.248693409952778666e+03 -3.752752020476078769e+02 -1.603720239566476380e+01
-1.260403608435676460e+03 -3.736480343494245062e+02 -1.551259433704834123e+01
-1.266338618735792807e+03 -3.721084120659502332e+02 -1.540147628757995335e+01
-1.264250811884997802e+03 -3.718558557469128800e+02 -1.540197634920329506e+01
-1.256308715033780572e+03 -3.737482382639889238e+02 -1.546010648941324916e+01
-1.254914999580716085e+03 -3.701222905280899340e+02 -1.590340522155059944e+01
-1.248290354428150067e+03 -3.744725915023402649e+02 -1.598309373432707048e+01
-1.228538120512108208e+03 -3.737058331181776794e+02 -1.587557026597028198e+01
-1.217918399522220852e+03 -3.750106155824220195e+02 -1.578531879271432103e+01
-1.203999874721468359e+03 -3.745941996853719047e+02 -1.575295777801716213e+01
-1.194602777583491388e+03 -3.733922471377335910e+02 -1.572359203537237704e+01
-1.199790470316984511e+03 -3.719404383785879418e+02 -1.502347295604420196e+01
-1.198139075772413889e+03 -3.728809422163740237e+02 -1.460425058656483088e+01
-1.203729739804608926e+03 -3.700627379122081493e+02 -1.462773893598267705e+01
-1.199792905068434948e+03 -3.688411912940306365e+02 -1.487140905183065342e+01
-1.208544818642066730e+03 -3.666759446795674648e+02 -1.503451017196491080e+01
-1.216239933161375120e+03 -3.684414270426631788e+02 -1.514450957022006605e+01
-1.211808509635210612e+03 -3.706439075295309067e+02 -1.495161609059857710e+01
-1.201693491256099151e+03 -3.720330501515499577e+02 -1.543257919369287379e+01
-1.200276149088401780e+03 -3.700430298552265640e+02 -1.575739651796425278e+01
-1.195924365701720262e+03 -3.697647530442732204e+02 -1.577629734708455089e+01
-1.192115269129581520e+03 -3.717454364926411472e+02 -1.598259315835983330e+01
-1.219830064811621696e+03 -3.686048501252454344e+02 -1.542612823990427273e+01
-1.213426220970379518e+03 -3.663378332722911637e+02 -1.551094472516106748e+01
-1.223278913991342961e+03 -3.668292244642926789e+02 -1.543561706894178087e+01
-1.222200298188399529e+03 -3.690191284480696368e+02 -1.551893851676967984e+01
-1.227006298972754848e+03 -3.680685845510467971e+02 -1.569452794421476938e+01
-1.231962222011748736e+03 -3.705141362613281899e+02 -1.583613353201002383e+01
-1.230202905833916248e+03 -3.715152444926786757e+02 -1.586757866312453302e+01
-1.204922998519117755e+03 -3.761850929936355215e+02 -1.566070766282848581e+01
-1.210858299414786188e+03 -3.743136148040975968e+02 -1.609941644989521592e+01
-1.205137890907033579e+03 -3.745049603586398916e+02 -1.592939202256985709e+01
-1.211795332892432498e+03 -3.729869149795026715e+02 -1.595156907459988815e+01
-1.215925941926185487e+03 -3.716910049504544418e+02 -1.615910262647690843e+01
