word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	
3.465924034532014808e+00 7.684913291502423860e+00 6.942296162488116096e+00 7.546276553237754037e+00 8.508693701398382103e+00 8.624354870435771758e+00
3.696287369215618401e+00 6.386463635441370634e+00 4.605269970180875028e+00 8.889350533957415479e+00 6.998538478217478875e+00 8.617092839757418687e+00
6.560455172504097376e+00 6.394692721098470756e+00 7.563619286726065205e+00 9.833553820428752701e+00 7.568620005089607083e+00 8.544033805165295092e+00
8.699186458294642321e+00 9.462609196368186204e+00 5.331033699096138001e+00 9.845523170969263660e+00 8.882318762620498021e+00 9.451144034131822025e+00
8.330928678053911796e+00 7.418502018311074586e+00 5.173486060836626876e+00 7.921902720326045255e+00 8.726713731670676211e+00 8.473125370759801100e+00
8.525310091614869634e+00 9.725649669707427947e+00 9.904274850994095658e+00 7.622184830825038837e+00 8.743315378309651109e+00 7.951590102155734030e+00
6.238747889669366664e+00 6.414819432924672604e+00 8.235318645237406088e+00 9.690277765901196716e+00 8.831353850492590141e+00 9.197725253866842365e+00
7.035731002404827628e+00 7.073594747052535325e+00 5.239335134809499195e+00 8.748953991376847483e+00 9.900477784546861670e+00 8.503446846667110037e+00
5.943084662104185512e+00 9.476458553271548624e+00 9.086009035398761924e+00 9.114859567551114594e+00 9.758696509155889487e+00 9.111590171747563360e+00
8.863667243045307842e+00 6.120961348665286295e+00 3.303465312040062773e+00 9.622763057799923914e+00 8.184839319663602453e+00 6.627729840344278145e+00
8.943269941763604791e+00 9.060323920307588708e+00 6.866373787128474682e+00 9.547107863675387662e+00 8.929702418042939627e+00 9.413210494122846939e+00
4.298716703533176364e+00 9.849810541547016740e+00 7.439609850862247242e+00 6.858229056306583082e+00 8.728785695090129693e+00 9.894626280811511521e+00
4.158643578896751514e+00 7.242175082077569215e+00 7.023684119212349586e+00 7.766238496956275661e+00 9.019724015863676669e+00 7.852818475613605465e+00
8.735681976676088922e+00 9.777831711930573988e+00 6.370667688018567532e+00 8.382324230010731014e+00 6.018168777456497587e+00 6.833734442677051213e+00
7.500112113098902356e+00 7.920457778645713987e+00 9.337395408661880225e+00 8.355626379837838513e+00 9.279463524919556505e+00 4.777680221802119931e+00
8.193485022048175637e+00 7.730715437399076073e+00 7.600130508729956880e+00 8.554785902631131478e+00 9.217373290212332648e+00 8.838205111909310574e+00
9.605055807519677913e+00 7.770999691659622677e+00 7.400389862095513749e+00 6.976368284043626744e+00 9.219719669620760172e+00 9.062434537121159650e+00
9.076740070358953361e+00 6.124788902979337202e+00 8.114017511784400227e+00 9.000718713284525663e+00 7.817276138908016314e+00 6.127929083642834840e+00
9.531820263611120225e+00 9.652552289881528580e+00 6.405522220354759710e+00 9.108624892084506541e+00 8.938501658436495134e+00 7.409054248822953603e+00
8.188989883173352524e+00 7.502014888874192877e+00 6.677778607165654634e+00 6.934860871280223549e+00 8.846574308389941521e+00 7.799269124430924016e+00
8.151157986745520390e+00 7.517349796143188101e+00 7.689211319710564929e+00 7.203403102685097537e+00 9.575215639743220208e+00 8.269792031083499140e+00
8.479913264146709651e+00 7.593764219597580301e+00 9.849907107889009694e+00 7.004528828353313585e+00 9.106619133128610599e+00 9.997032917724089529e+00
8.668836455795196017e+00 8.853295727075668253e+00 9.275406506414027419e+00 7.311688242780035374e+00 9.887306131350262817e+00 6.926443478517830599e+00
8.216168214331538877e+00 9.540926639630866291e+00 7.591448602396903667e+00 9.131649850536502910e+00 8.468323603715722570e+00 5.023157838703996347e+00
8.607810842458164302e+00 6.536708691631368140e+00 7.256234442817827812e+00 7.756370832933965787e+00 7.580494001083759592e+00 5.790367621861083336e+00
8.433223359229872429e+00 6.543374319531019445e+00 7.622693039351393196e+00 7.985527446882551672e+00 6.103659032367111159e+00 5.737035596867305465e+00
7.366126236615512468e+00 6.371176465825353574e+00 9.412390955872009357e+00 8.207933437382726183e+00 8.865997100430504929e+00 7.648543915569276486e+00
8.197557632540702244e+00 8.373915334701084845e+00 9.477897311861818608e+00 8.274567101943627989e+00 9.797187297045038434e+00 7.530835420978290173e+00
3.957691850250874666e+00 9.558424208105972042e+00 8.612632571122823322e+00 8.524070133039817421e+00 9.944595100898787621e+00 9.596064625712498852e+00
9.037313885467121111e+00 9.229938579050813274e+00 8.773497813068500406e+00 6.481712707955230357e+00 6.361754114491211531e+00 8.687889142209124671e+00
7.792497027128851173e+00 8.133944943298940800e+00 6.822322484483067662e+00 9.103863124397685525e+00 6.944339979500487203e+00 8.386868599441516636e+00
9.503183118958681064e+00 8.364515351463797543e+00 9.450240537335950819e+00 8.071648255557658302e+00 9.949880757868356795e+00 5.076318002511845506e+00
7.372150954354760088e+00 8.399559875637404360e+00 7.837935412599727591e+00 9.517215258797490307e+00 8.345708621734056365e+00 4.671092091348769237e+00
8.117507600301740567e+00 7.502186363290197058e+00 8.210013672577758825e+00 9.667697471539389298e+00 8.479555858544641112e+00 5.486998947247068159e+00
7.188519634714770845e+00 9.125155001018121936e+00 9.664051984306535559e+00 9.795487971553086481e+00 9.693531807379240917e+00 7.981376259670856399e+00
5.729377237383127763e+00 7.613295024928399712e+00 8.504479008194401501e+00 8.921200590017200227e+00 8.626014503139575851e+00 7.790571594171460390e+00
8.594071704578544413e+00 9.085892878972000375e+00 6.526317016471066879e+00 9.068337217621467161e+00 8.300785295349673021e+00 9.609723091329801292e+00
9.931716237284186732e+00 7.388141142566984065e+00 6.750527053778455411e+00 8.266094600140396764e+00 8.712263030368580630e+00 9.153015948274308755e+00
6.003263658533953162e+00 4.876546296510587020e+00 5.948922264565354112e+00 9.197072529234116445e+00 5.068792046507490490e+00 5.817777035073270930e+00
5.330557965453303737e+00 3.331727403244747254e+00 4.658897316034593672e+00 9.381574812951839704e+00 5.643846692604967963e+00 3.953219580872463723e+00
