log.prior	log.likelihood	log.likelihood.test.set
-1.812512528667384686e+03 -1.160695181190408903e+03 -1.155101460954960544e+02
-1.810932351847609880e+03 -1.155682631418540950e+03 -1.159148423822948644e+02
-1.784170218959722206e+03 -1.155989655654014541e+03 -1.155098053741222941e+02
-1.793661566765990301e+03 -1.153811093314694290e+03 -1.146943028891040512e+02
-1.797266099791563875e+03 -1.160683820745374078e+03 -1.123713269253602505e+02
-1.781118817134795790e+03 -1.162651584916613047e+03 -1.135441689832356076e+02
-1.792280476645408953e+03 -1.160444804960031888e+03 -1.150295262733767458e+02
-1.768047936974290906e+03 -1.160215767016880363e+03 -1.147701058653947825e+02
-1.774223878359747687e+03 -1.168476888527433402e+03 -1.125271250663034834e+02
-1.758259898663523018e+03 -1.164703248189400256e+03 -1.134902444653039026e+02
-1.772664826123685543e+03 -1.163774531156918783e+03 -1.136739399661891241e+02
-1.776682339401065292e+03 -1.163508921584618292e+03 -1.149040360759105681e+02
-1.780800341952193094e+03 -1.162273180596376051e+03 -1.160010020331855287e+02
-1.791244793510966701e+03 -1.163420941881483941e+03 -1.150974281161261672e+02
-1.784710753410757661e+03 -1.163650936641540284e+03 -1.152516604254192600e+02
-1.823493949340942663e+03 -1.158193536262417410e+03 -1.155267264652621861e+02
-1.814591530003938033e+03 -1.161020311401080562e+03 -1.149881998118161732e+02
-1.812205843314597587e+03 -1.159587731502767156e+03 -1.149158553138693719e+02
-1.814440282311931014e+03 -1.159767173040510897e+03 -1.157518268898436133e+02
-1.850678602077017786e+03 -1.158404231408690976e+03 -1.175961520631271640e+02
-1.832251088285962624e+03 -1.161582572244827588e+03 -1.165611317258840813e+02
-1.803845582184592104e+03 -1.161395770065086253e+03 -1.170965201868593795e+02
-1.822479840319129835e+03 -1.163776101832102995e+03 -1.178119846575688712e+02
-1.809793610984893348e+03 -1.168547667697356474e+03 -1.173716392211308346e+02
-1.786579610668454279e+03 -1.170941064221595980e+03 -1.174307651082625910e+02
-1.799968650776148706e+03 -1.165224989931620257e+03 -1.178551276880499188e+02
-1.794361742292780718e+03 -1.163631917160244257e+03 -1.175240756324947142e+02
-1.779703804817921991e+03 -1.163047706357167044e+03 -1.178204161543232544e+02
-1.771573344341466282e+03 -1.161826087519998509e+03 -1.165816847082582512e+02
-1.781420127767582926e+03 -1.160697970210332642e+03 -1.156126523507883235e+02
-1.809373842153075202e+03 -1.160950813454442596e+03 -1.181573541340458462e+02
-1.816783347721281416e+03 -1.160533831973264796e+03 -1.156274342475577157e+02
-1.819216875735444319e+03 -1.162566670881878963e+03 -1.166273062847746189e+02
-1.829505596940805162e+03 -1.161521483553919779e+03 -1.179986961355389496e+02
-1.843932645914702789e+03 -1.164599106339657055e+03 -1.182857178574915054e+02
-1.836804886128065391e+03 -1.161144695906410334e+03 -1.173063611394016164e+02
