time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	
1.007965667140684616e+02 9.641252498908967539e+01 1.154398872065195576e+02 9.779429595339038883e+01 7.386661606312989647e+01 1.021959082309955420e+02 8.891609519560414299e+01 1.070347316765394510e+02 1.174512448565257614e+02 1.070750665831337187e+02
1.061455205136475684e+02 8.503600702900519082e+01 8.806927633025151181e+01 9.731088989892975860e+01 7.768436754799475352e+01 1.130027964892431100e+02 9.905385644780325549e+01 1.083400023517533555e+02 1.228377165772891004e+02 9.478174264124854176e+01
1.044778259074699633e+02 9.941732093784156632e+01 8.786823947595196671e+01 9.743467169084932777e+01 9.254816166197355187e+01 9.716933356939340172e+01 9.994574979972810524e+01 9.640004286385030241e+01 1.255815658396082171e+02 9.273794150666141434e+01
9.806987414989973217e+01 9.182246694618038418e+01 8.928160442018214837e+01 1.017167654921207145e+02 9.482608729343407106e+01 9.977193186202767095e+01 1.013523956741136800e+02 9.725937731936394925e+01 8.705871024199711883e+01 9.288932316021760016e+01
1.025486001330587982e+02 9.234705533250932774e+01 8.711804406907725706e+01 1.022311819095700542e+02 1.033088992640459622e+02 9.958231249223048565e+01 1.027643102420692287e+02 1.206975333125351852e+02 1.178489040333175524e+02 1.039003402665930764e+02
1.002697182476269120e+02 8.578520424281683177e+01 8.201599171268314592e+01 9.440017906742481557e+01 1.030461339540618013e+02 9.727495817017687330e+01 9.668942487312342848e+01 7.867505326807983579e+01 8.847298656817206108e+01 9.588880765125807670e+01
1.067538057280222574e+02 9.430602334081665106e+01 1.046423535658800716e+02 1.139976021075151920e+02 9.734234907251948243e+01 9.634850193647926631e+01 9.628801503403084894e+01 1.073536148370545220e+02 1.090074116763444039e+02 1.023255547801843761e+02
9.076100665093143505e+01 9.563422567134239216e+01 1.024293951620430221e+02 8.714558338467000453e+01 9.886853474313723211e+01 9.684625420706149157e+01 9.626590986435410002e+01 9.026839534309536361e+01 1.078538185979006983e+02 1.017362393018477462e+02
9.933970521678907062e+01 9.387240484604468804e+01 9.334117230454059211e+01 1.016914558191130027e+02 1.107145496291040558e+02 1.015147116326952244e+02 9.946859704712537109e+01 1.043897320721392106e+02 1.038149281477261638e+02 9.751266518046897147e+01
1.043247330223937297e+02 1.094957680081909643e+02 8.598359009546607012e+01 9.747319245411684108e+01 1.109404992506297560e+02 9.858249833912095994e+01 9.743969981186172902e+01 1.086451799212904632e+02 1.017851710359756368e+02 9.931153409510828567e+01
1.034634127439648807e+02 1.098881719937183590e+02 7.981446852506989842e+01 1.076352214265611025e+02 1.196860658038714718e+02 9.817415967953098743e+01 9.253693601064296104e+01 1.067719065295834753e+02 8.443408091962393769e+01 1.019095670758105712e+02
9.676451625211707608e+01 8.970869301133895135e+01 7.846079760027339489e+01 1.081269283718888232e+02 1.144500277262516192e+02 1.011825592190717913e+02 1.095958271631810419e+02 8.760454791925319284e+01 9.567847719466722367e+01 8.944807177835409107e+01
9.645852866419168947e+01 8.928834065916078089e+01 9.549422017485846936e+01 1.096650198411203974e+02 1.003810201120231653e+02 8.692830679066753419e+01 9.138640369310772371e+01 1.070503952352971311e+02 1.056751787547537447e+02 9.315760210149727527e+01
1.086459716637951658e+02 1.017037084585099365e+02 8.950813447616046403e+01 8.103489762264592855e+01 9.358664769425543284e+01 8.639360893318229273e+01 1.006154360083533135e+02 1.254850019670500245e+02 1.129089002477276154e+02 1.006850779026647018e+02
1.142360680619682824e+02 9.974167030587967986e+01 1.123946837459783694e+02 9.266901425412277149e+01 1.019297480045548525e+02 8.708552961762330824e+01 1.024719141587058573e+02 1.206344620908767240e+02 9.707862203391484002e+01 9.966306747515081099e+01
9.409744507782164646e+01 9.785415031081926429e+01 1.051137819913253111e+02 1.041130620935075370e+02 9.270300829490007288e+01 8.805898730723050960e+01 9.590272412489542830e+01 1.195337081305184341e+02 1.029123545381827967e+02 9.824774972158235187e+01
8.530193794516394235e+01 1.150108175262807322e+02 7.953469826231466300e+01 1.238948850883845409e+02 9.071265472376518346e+01 8.785058902785401358e+01 1.063306147105225818e+02 1.149497338302070091e+02 1.015180604967348188e+02 1.080566185960132799e+02
8.572499641837717377e+01 1.066439201341243717e+02 9.963584505353779264e+01 1.058058970564445644e+02 1.055905645229366883e+02 1.314841700623463225e+02 1.020520436589179241e+02 8.511948157496223644e+01 8.976238147583440252e+01 1.040333804322203406e+02
7.670824206576008919e+01 8.354094441758698508e+01 1.085643151484452744e+02 1.092803453509432501e+02 1.014557541966851346e+02 1.104733490958827957e+02 8.458961755148652628e+01 7.563852366693271279e+01 1.232677644166771955e+02 9.126570187048486105e+01
1.230132876138780489e+02 8.289806277331764761e+01 1.058656833881564268e+02 1.140553876451485849e+02 1.041835677049824653e+02 1.127464644063819463e+02 1.042015840242887350e+02 7.532995411049083145e+01 1.018173140936369379e+02 1.032547480988098982e+02
1.090603671055870052e+02 8.037431089261689010e+01 9.018022981748553946e+01 1.170296790384526275e+02 8.342430923421835587e+01 1.041683641564028591e+02 1.110243348226715767e+02 7.862137329043392242e+01 9.344038305326617433e+01 9.915086295039813535e+01
1.024532081348287420e+02 1.107463586055074813e+02 8.441235808795754281e+01 8.343849692821078179e+01 1.040900335732252699e+02 9.563804757826429181e+01 1.160490359475022188e+02 1.128298271434828450e+02 1.072863270930525346e+02 9.369293008704882197e+01
